NO,NAMA PPIU,NOMOR SK,KONTAK & ALAMAT,CABANG,
1,"PT ALHIDAYAH WISATA UTAMA
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","26082100094440001
TGL SK: 13-12-2022
DIREKTUR: Hj ANI PREMINI","JALAN CENDRAWASIH II NO.48 RT-RW : 002-012 KELURAHAN CIBODASARI, KECAMATAN CIBODAS, KOTA TANGERANG, PROVINSI BANTEN. TELEPON : 081381796272 EMAIL : ALHIDAYAH.WISATA@GMAIL.COM",0,Detail
2,"PT. ALFATIH NUR HAROMAIN
Akreditasi: A
Tgl Akreditasi: 27-10-2023
Lembaga Akreditasi: PT MUTU AGUNG LESTARI
STATUS DAFTAR HITAM: TIDAK","IZIN: 15052300239070002 ( NOMOR U.180 TAHUN 2020)
TGL SK: 11-05-2024
DIREKTUR: ARIFYANTO","JL. PENGAYOMAN C2 NO. 20 RT 002 RW 002 KEL MASALE KEC PANAKKUKANG KOTA MAKASSAR, PROVINSI SULAWESI SELATAN TELP. 081355243370 EMAIL: ALFATIHTRAVEL.ID@GMAIL.COM",0,Detail
3,"PT. ALKAUTSAR GLOBAL PLUS
Akreditasi: A
Tgl Akreditasi: 28-11-2023
Lembaga Akreditasi: PT EKUALINDO ARTHA SINERGI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.99 TAHUN 2021
TGL SK: 09-02-2021
DIREKTUR: ASRI ANGGRIANI","ALAMAT : JALAN PANGERAN ASOGIRI RUKO HOLLYWOOD BLOK D7 RT. 001 RW. 002, KEL. TANAH BARU, KEC. BOGOR UTARA, KOTA BOGOR, JAWA BARAT 16154 TELEPON : 0251 - 7503722 EMAIL : ALKAUTSAR.WISATA@GMAIL.COM",0,Detail
4,"PT. GLOBAL ENERGY MULTAZAM
Akreditasi: A
Tgl Akreditasi: 11-07-2023
Lembaga Akreditasi: PT. Difaya Terampil Mandiri
STATUS DAFTAR HITAM: TIDAK","NOMOR U.170 TAHUN 2020
TGL SK: 13-07-2020
DIREKTUR: AHMAD EKO ADI","JL. TB SUWANDI NO. 27 LINK. SELATAN NO. 27 RT/RW 001/014 KEL. SERANG, KEC. SERANG, KOT/KAB. SERANG PROVINSI BANTEN TELP. 02547913626 EMAIL:GLOBALENERGYMULTAZAM@GMAIL.COM",0,Detail
5,"PT. KAMALIYAH CITRA MANDIRI
Akreditasi: A
Tgl Akreditasi: 28-11-2023
Lembaga Akreditasi: PT EKUALINDO ARTHA SINERGI
STATUS DAFTAR HITAM: TIDAK","02050009028930003 (NOMOR U.88 TAHUN 2021)
TGL SK: 13-02-2024
DIREKTUR: AHMAD KAMALUDIN",ALAMAT : JL. RAYA CILINCING NO. 36 RUKAN CILINCING PLAZA B. 4 RT. 001 RW. 05 KELURAHAN CILINCING KECAMATAN CILINCING KOTA JAKARTA UTARA PROVINSI DAERAH KHUSUS IBUKOTA JAKARTA TELEPON : 02122401840-081282948860 EMAIL :KAMALIYAHWISATA@GMAIL.COM,0,Detail
6,"PT. PBMT TOUR & TRAVEL
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","NOMOR U.89 TAHUN 2021
TGL SK: 09-02-2021
DIREKTUR: ASEP SUTISNA","ALAMAT : EQUITY TOWER LT. 27 SCBD LOT 29, JL. JEND SUDIRMAN, KAV. 52–53, RT. 001 RW. 001, KEL. SENAYAN, KEC. KEBAYORAN BARU, JAKARTA SELATAN, PROVINSI DAERAH KHUSUS IBUKOTA JAKARTA TELEPON : 021 29035428-085727582283 EMAIL : PBMTTRAVEL@PERMODALANBMT.COM",0,Detail
7,"PT. PERSADA INDONESIA TUR DAN TRAVEL
Akreditasi: A
Tgl Akreditasi: 02-08-2023
Lembaga Akreditasi: PT EKUALINDO ARTHA SINERGI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.352 TAHUN 2021
TGL SK: 02-08-2021
DIREKTUR: HJ. AMINAH ASYARI, S.H.","JL. DIPONEGORO 48 AB, KELURAHAN DR. SOETOMO, KECAMATAN TEGALSARI, KOTA SURABAYA, PROVINSI JAWA TIMUR TELP. 0315624688 EMAIL: DUTAINDONESIA.INFO@GMAIL.COM",0,Detail
8,"PT. RAYKHA SHAKILA INTERNASIONAL
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","30032300763590002
TGL SK: 24-05-2023
DIREKTUR: AAN SUHENDRA","ZAMZAM SQUARE LT.2 UNIT 9, JALAN. CONDET RAYA No. 4 RT-RW: 005-003, KELURAHAN BALEKAMBANG, KECAMATAN KRAMATJATI, KOTA ADM. JAKARTA TIMUR, DKI Jakarta Telp. 081380199099 EMAIL: INFORAYKHATOURS@GMAIL.COM",1,Detail
9,"PT. ULVIE SEHATI WISATA
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","NOMOR U.233 TAHUN 2021
TGL SK: 22-04-2021
DIREKTUR: MUHAMMAD TAUFIK ARDIYANTO","JALAN DR. RAJIMAN 557 D, KELURAHAN LAWEYAN, KECAMATAN LAWEYAN, KOTA SURAKARTA, PROVINSI JAWA TENGAH TELP. 0271723490 EMAIL: ULVIESEHATIWISATA@GMAIL.COM",0,Detail
10,"ALFURQON BINA ILAHI
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","12122200428230002
TGL SK: 28-10-2023
DIREKTUR: MUHAMMAD WILDAN HERDIANA, S.Farm,Apt","KAMPUNG CARINGIN POJOK RT 010 RW 003, KELURAHAN CARINGIN KULON, KECAMATAN CARINGIN, KABUPATEN SUKABUMI. JAWA BARAT. TELEPON : 089663973230 EMAIL : ALFURQONBINAILAHI@GMAIL.COM",0,Detail
11,"PT AL-QAAF MILYASA WISATA
Akreditasi: B
Tgl Akreditasi: 22-03-2024
Lembaga Akreditasi: PT DIFAYA TERAMPIL MANDIRI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.11 TAHUN 2021
TGL SK: 13-01-2021
DIREKTUR: ISHAK",RT 00 RW 00 JL. MAHARAJA NO. 125 DESA MON GEUDONG KECAMATAN BANDA SAKTI KOTA LHOKSEUMAWE PROVINSI ACEH TELP. 06456508068 EMAIL: ALQAAFTRAVEL@GMAIL.COM,0,Detail
12,"PT ALHUSNA ERA WISATA
Akreditasi: A
Tgl Akreditasi: 13-10-2023
Lembaga Akreditasi: PT. EKUALINDO ARTHA SINERGI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.21 TAHUN 2022 (NOMOR U.467 TAHUN 2021)
TGL SK: 29-03-2022
DIREKTUR: SITI KHUSNATUNISA","JL. PEMUDA NO,23 RT. 008 RW. 004KEL. RAWAMANGUN KEC. PULOGADUNGKOTA ADM. JAKARTA TIMUR, DAERAH KHUSUS IBU KOTA JAKARTA TELP. 02122484729 EMAIL: ALHUSNAWISATA43@GMAIL.COM",0,Detail
13,"PT ALMEERA SADADIUNA PERDANA
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","91202031515410001
TGL SK: 30-01-2023
DIREKTUR: Zulhenri Nasution","KP.CIEKEK BABAKAN KARATON , DESA-KELURAHAN KARATON, KEC. MAJASARI, KAB. PANDEGLANG, PROVINSI BANTEN, KODE POS: 42218 082111116165 EMAIL : ALMEERASADADIUNAPERDANA@GMAIL.COM",0,Detail
14,"PT ARABIA NUSANTAMA RAYA
Akreditasi: A
Tgl Akreditasi: 15-11-2023
Lembaga Akreditasi: PT EKUALINDO ARTHA SINERGI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.450 TAHUN 2021
TGL SK: 14-10-2021
DIREKTUR: YONI MARLIUS",JALAN PROFESOR DOKTOR HAMKA NOMOR 139 D. KELURAHAN PARUPUK TABING. KECAMATAN KOTO TANGAH. KOTA PADANG. PROVINSI SUMATERA BARAT TELP. 07518974165 EMAIL: ARABIATOUR.INFO@GMAIL.COM,0,Detail
15,"PT ASTRAV WISATA DUNIA
Akreditasi :
Tgl Akreditasi :
Lembaga Akreditasi :
STATUS DAFTAR HITAM: TIDAK","15012200163530001
TGL SK: 25-11-2022
DIREKTUR: IRHAM HABIBI,SE","CIPUTRA INTERNATIONAL - TOWER 3. TOKOPEDIA CARE TOWER LANTAI 16 UNIT 48. JL. LINGKAR LUAR BARAT NO. 101 RT-RW: -, KELURAHAN RAWA BUAYA, KECAMATAN CENGKARENG, KOTA ADM. JAKARTA BARAT, DKI JAKARTA. IRHAM@ASTRAVTOUR.COM 02122953522",0,Detail
16,"PT BAHAGIA UTAMA TOURS & TRAVEL
Akreditasi: A
Tgl Akreditasi: 28-12-2023
Lembaga Akreditasi: PT SERTIFIKASI COHESPA INDONESIA
STATUS DAFTAR HITAM: TIDAK","NOMOR U.188 TAHUN 2021
TGL SK: 01-04-2021
DIREKTUR: BUDIANA PRASESANTI",DELTASARI INDAH AK-06 RT 005 RW 010 KEL. KUREKSARI KEC. WARU KAB. SIDOARJO PROVINSI JAWA TIMUR TELP. 0318545641 EMAIL: INFOMOOMTAZ@GMAIL.COM,0,Detail
17,"PT BAITULLAH TIGA KHARISMA
Akreditasi: A
Tgl Akreditasi: 09-08-2023
Lembaga Akreditasi: PT. EKUALINDO ARTHA SINERGI
STATUS DAFTAR HITAM: TIDAK","NOMOR U.565 TAHUN 2020
TGL SK: 31-12-2020
DIREKTUR: WASIS UTOMO",JALAN KALIURANG KM 5. 5 GANG PANDEGA MANDALA NO 23 CATURTUNGGAL DEPOK SLEMAN PROVINSI DAERAH ISTIMEWA YOGYAKARTA TELP. 0274562136 EMAIL: PT.BATIK@GMAIL.COM,0,Detail
